,X,X,X,X,X,X,X,X,X,X,X,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,MODE
ACC-GPS,MEAN,STD,VAR,MIN,MAX,ACF-MEAN,ACF-STD,ACV-MEAN,ACV-STD,SKEW,KURTOSIS,STD-ERR,MEAN,STD,VAR,MIN,MAX,ACF-MEAN,ACF-STD,ACV-MEAN,ACV-STD,SKEW,KURTOSIS,STD-ERR,MEAN,STD,VAR,MIN,MAX,ACF-MEAN,ACF-STD,ACV-MEAN,ACV-STD,SKEW,KURTOSIS,STD-ERR,MEAN,STD,VAR,MIN,MAX,ACF-MEAN,ACF-STD,ACV-MEAN,ACV-STD,SKEW,KURTOSIS,STD-ERR,
1.0,0.025166050237426886,6.87106776552619e-06,4.721157223845306e-11,0.02516119165881589,0.025170908816037882,0.25,0.75,5.901446529806633e-12,1.77043395894199e-11,0.0,-2.0,4.858578610995867e-06,-1.956137983295364,0.00045444475287200424,2.06520033412897e-07,-1.9564593242617945,-1.9558166423289336,0.25,0.75,2.5815004176612125e-08,7.744501252983637e-08,0.0,-2.0,0.00032134096643043897,-0.10730276316364029,0.00036440052727504125,1.327877442783281e-07,-0.10756043324754443,-0.10704509307973616,0.25,0.75,1.6598468034791013e-08,4.979540410437304e-08,0.0,-2.0,0.00025767008390413515,1.9592404391293847,0.00043385607993162636,1.8823109809363774e-07,1.958933656553206,1.9595472217055634,0.25,0.75,2.3528887261704718e-08,7.058666178511416e-08,0.0,-2.0,0.0003067825761786658,1.0
0.0,-0.3989726813459089,0.03795153434203636,0.0014403189589147654,-0.42580846863559696,-0.37213689405622086,0.25,0.75,0.00018003986986434568,0.000540119609593037,0.0,-2.0,0.02683578728968805,0.14029682511617703,0.29405370269964726,0.08646758007137252,-0.06763054209575652,0.3482241923281106,0.25,0.75,0.010808447508921565,0.0324253425267647,0.0,-2.0,0.20792736721193356,0.12295298181015707,0.0,0.0,0.12295298181015707,0.12295298181015707,0.25,0.75,0.0,0.0,0.0,-3.0,0.0,0.48630452595220364,0.05369716729173449,0.00288338577515652,0.44833489482970973,0.5242741570746976,0.25,0.75,0.000360423221894565,0.001081269665683695,2.2281973928332897e-15,-2.0,0.037969631122493935,1.0
1.0,0.017777609743685256,2.5193915140262693e-06,6.347333600947578e-12,0.017775828264861224,0.017779391222509287,0.25,0.75,7.934167001184473e-13,2.3802501003553417e-12,0.0,-2.0,1.781478824031818e-06,1.0177655473631302,0.0006196973902800486,3.840248555199029e-07,1.0173273551361794,1.0182037395900807,0.25,0.75,4.800310693998786e-08,1.4400932081996357e-07,-7.599975068979598e-13,-2.0,0.00043819222695062887,0.43097004211209167,0.017126824781926724,0.00029332812711081936,0.41885954816859744,0.44308053605558584,0.25,0.75,3.666601588885242e-05,0.00010999804766655726,-6.914849549004537e-15,-2.0,0.0121104939434942,1.1054529124738106,0.006106453634492886,3.728877599021138e-05,1.1011349976998595,1.1097708272477618,0.25,0.75,4.661096998776422e-06,1.3983290996329267e-05,0.0,-2.0,0.004317914773951159,0.0
0.0,-0.10377902115934043,0.6072245494725815,0.3687216534821796,-0.533151617794349,0.3255935754756682,0.25,0.75,0.04609020668527245,0.13827062005581736,0.0,-2.0,0.4293725966350086,-0.10921601553814324,0.2352429621597178,0.055339251245678414,-0.2755579093076901,0.057125878231403616,0.25,0.75,0.006917406405709802,0.020752219217129407,2.8267447524457543e-16,-2.0,0.16634189376954683,-0.008917267743237263,0.11189561723516091,0.012520629156437639,-0.08803941747527386,0.07020488198879933,0.25,0.75,0.0015650786445547049,0.004695235933664115,0.0,-2.0,0.0791221497320366,0.47316723570301733,0.1853713836930415,0.03436254989227282,0.3420898732557343,0.6042445981503004,0.25,0.75,0.004295318736534102,0.012885956209602306,6.739927535195651e-16,-2.0,0.13107736244728305,1.0
1.0,0.011445991074145442,4.134092438925046e-05,1.709072029357724e-09,0.011416758626169284,0.011475223522121603,0.24999999999999994,0.75,2.1363400366971547e-10,6.409020110091465e-10,8.899095471470143e-14,-1.9999999999999998,2.9232447976159336e-05,-0.08325571728312631,0.0004131315935200422,1.706777135644094e-07,-0.08354784543442673,-0.08296358913182587,0.25,0.75,2.1334714195551175e-08,6.400414258665352e-08,7.128576918540866e-14,-2.0,0.0002921281513004262,0.13052672427987363,0.00838121212732585,7.024471672323392e-05,0.1246003123500786,0.13645313620966867,0.25,0.75,8.78058959040424e-06,2.634176877121272e-05,0.0,-2.0,0.005926411929795039,0.1552794222733529,0.006820629507545217,4.652098687919651e-05,0.1504565088966066,0.16010233565009918,0.25,0.75,5.8151233598995636e-06,1.744537007969869e-05,0.0,-2.0,0.004822913376746285,1.0
1.0,0.026277126189451487,2.5537468528539004e-05,6.521622988461201e-10,0.02625906847228062,0.026295183906622357,0.25,0.75,8.152028735576502e-11,2.4456086206729505e-10,2.8817234738684685e-13,-2.0,1.8057717170867973e-05,-2.11137488289641,0.002382392189298822,5.6757925436320345e-06,-2.1130594885689087,-2.1096902772239106,0.25,0.75,7.094740679540043e-07,2.1284222038620127e-06,3.9544564429431287e-13,-1.9999999999999998,0.0016846056724990621,-0.22879420772443856,0.0012754018454626346,1.6266498674094942e-06,-0.22969605301810303,-0.2278923624307741,0.25,0.75,2.0333123342618678e-07,6.099937002785603e-07,0.0,-2.0,0.0009018452936644661,2.1238979110703893,0.0022306380165234103,4.975745960759495e-06,2.1223206118025333,2.1254752103382457,0.25,0.75,6.219682450949369e-07,1.8659047352848107e-06,4.223255812553316e-13,-2.0,0.0015772992678562137,1.0
1.0,0.023560128053872337,3.7103765933843876e-05,1.3766894464734734e-09,0.02353389172937296,0.023586364378371718,0.25,0.75,1.7208618080918418e-10,5.162585424275525e-10,1.9839859039796256e-13,-2.0000000000000004,2.6236324499379418e-05,-2.046561383727889,9.63973718213723e-05,9.292453294067901e-09,-2.0466295469631923,-2.0464932204925854,0.25,0.75,1.1615566617584876e-09,3.484669985275463e-09,9.772632083717119e-12,-2.0,6.816323530345336e-05,-0.10060334098213286,0.0021864031636502183,4.780358794019683e-06,-0.10214936148555764,-0.09905732047870806,0.25,0.75,5.975448492524603e-07,1.792634547757381e-06,1.3486884874680579e-14,-2.0,0.00154602050342479,2.049168607975991,0.00020404215129450127,4.163319950488814e-08,2.049024328387163,2.0493128875648194,0.25,0.75,5.204149938111018e-09,1.5612449814333054e-08,0.0,-2.0,0.00014427958882823333,1.0
1.0,0.015671415915818488,4.3745798107183405e-05,1.9136948520344513e-09,0.01564048296532848,0.015702348866308495,0.25,0.75,2.392118565043064e-10,7.176355695129192e-10,0.0,-2.0,3.093295049000702e-05,-0.0923798532087429,0.006238287062152595,3.891622546982046e-05,-0.0967909882933793,-0.08796871812410649,0.25,0.75,4.864528183727557e-06,1.4593584551182672e-05,0.0,-2.0,0.004411135084636406,-0.20599040529892287,0.003644005272750373,1.3278774427832523e-05,-0.2085671061379642,-0.20341370445988155,0.25,0.75,1.6598468034790653e-06,4.979540410437196e-06,0.0,-2.0,0.0025767008390413237,0.2263569684225159,0.0007732195734288805,5.978685087335398e-07,0.22581021961879816,0.22690371722623362,0.25,0.75,7.473356359169247e-08,2.2420069077507742e-07,-7.615231944284727e-14,-2.0000000000000004,0.0005467488037177309,1.0
1.0,0.030078963952555864,4.88990989313305e-05,2.3911218762960478e-09,0.03004438706810761,0.03011354083700412,0.25,0.75,2.9889023453700597e-10,8.966707036110179e-10,0.0,-2.0,3.457688444825566e-05,-0.055075088287678695,0.005177915972117833,2.681081381431297e-05,-0.05873642778397735,-0.05141374879138004,0.25,0.75,3.351351726789121e-06,1.0054055180367363e-05,0.0,-2.0,0.0036613394962986545,0.04910297776616789,0.004008405800025405,1.6067317057677307e-05,0.04626860684322244,0.051937348689113344,0.25,0.75,2.0084146322096634e-06,6.02524389662899e-06,0.0,-2.0,0.002834370922945452,0.07981177133521669,0.0011254023205544473,1.2665303831093349e-06,0.07901599172278956,0.08060755094764381,0.25000000000000006,0.75,1.5831629788866688e-07,4.749488936660005e-07,-2.6160263805062773e-14,-2.0,0.0007957796124271263,1.0
1.0,0.013335654248582157,2.5308432936354798e-05,6.405167776939683e-10,0.013317758484031656,0.013353550013132659,0.25,0.75,8.006459721174604e-11,2.401937916352381e-10,0.0,-2.0,1.7895764550501445e-05,0.29039566344020323,0.008813473995094181,7.767732386220139e-05,0.28416359621246084,0.2966277306679456,0.25,0.75,9.709665482775174e-06,2.912899644832552e-05,0.0,-2.0,0.006232067227742388,-0.005265409937603981,0.0018220026363751842,3.319693606958122e-06,-0.006553760357124641,-0.003977059518083321,0.25,0.75,4.149617008697652e-07,1.2448851026092957e-06,0.0,-2.0,0.0012883504195206601,0.29075288619247286,0.008770810756641998,7.692712132882697e-05,0.2845509864299474,0.29695478595499836,0.25,0.75,9.615890166103371e-06,2.8847670498310113e-05,1.353742076507438e-14,-2.0,0.00620189976252547,1.0
